handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_197554b7-6859-65d9-1e77-82e768c0333d,Product,📖 Anel Biblioteconomia – Linha Bronze Dourado – Ametista Natural,"<p><strong>Cada joia da Linha Bronze Dourado é feita sob medida para sua história</strong> — com tempo, intenção e arte, resultando em uma obra selada e certificada.<br>O prazo de produção contempla não apenas a confecção da peça, mas também a criação dos elementos que a acompanham: papéis exclusivos, personalizados, únicos como quem os recebe.</p><p><strong>A entrega inclui:</strong></p><ul>	<li>	<p>💌 <strong>Carta-poema personalizada</strong>, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista</p>	</li>	<li>	<p>📜 <strong>Certificado interno de autenticidade</strong>, com os detalhes técnicos da peça</p>	</li>	<li>	<p>📖 <strong>Manual de Uso Inteligente</strong>, com orientações para preservar a joia ao longo do tempo</p>	</li>	<li>	<p>🎁 <strong>Caixa iluminada padrão Ferdie</strong></p>	</li></ul><p>&nbsp;</p><p>O <strong>Anel Biblioteconomia</strong> é um tributo à guardiã do conhecimento, àquela que organiza, preserva e dá vida às histórias que atravessam gerações.</p><p>No centro, repousa <strong>uma ametista natural</strong> de aproximadamente 4 mm (~0,25 ct), lapidada com precisão. Sua cor violeta evoca sabedoria, sensibilidade e a profundidade das narrativas que habitam cada página.</p><p>Ao redor da gema, <strong>um elo de zircônias brancas AAA</strong> com cravação delicada forma uma auréola de luz — como o brilho silencioso das ideias que se propagam.</p><p>Confeccionado em <strong>bronze banhado a ouro 18k</strong>, o aro exibe, em ambos os lados, <strong>o símbolo da Biblioteconomia</strong> — um livro aberto de um lado e uma lâmpada do tipo Aladim do outro — gravados com destaque em ródio branco contrastante. Um emblema de sabedoria, memória e iluminação intelectual.</p>",b72832_37055c3cff8c458cbe6e45f4b224a36c~mv2.png;b72832_3fe1afa4b6ef459ea48635b2c81e942b~mv2.png,Linha Bronze Dourado,,,900.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,09Brasil;10Brasil;11Brasil;12Brasil;13 Brasil;14 Brasil;15 Brasil;16 Brasil;17 Brasil;18 Brasil;19 Brasil;20 Brasil;21 Brasil;22 Brasil;23 Brasil;24 Brasil;25 Brasil,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_c81cd55d-5c45-a73e-19dc-13507b336ade,Product,📚 Anel Letras – Linha Bronze Dourado – Ametista Natural,"<p><strong>Cada joia da Linha Bronze Dourado é feita sob medida para sua história</strong> — com tempo, intenção e arte, resultando em uma obra selada e certificada.<br>O prazo de produção contempla não apenas a confecção da peça, mas também a criação dos elementos que a acompanham: papéis exclusivos, personalizados, únicos como quem os recebe.</p><p><strong>A entrega inclui:</strong></p><ul>	<li>	<p>💌 <strong>Carta-poema personalizada</strong>, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista</p>	</li>	<li>	<p>📜 <strong>Certificado interno de autenticidade</strong>, com os detalhes técnicos da peça</p>	</li>	<li>	<p>📖 <strong>Manual de Uso Inteligente</strong>, com orientações para preservar a joia ao longo do tempo</p>	</li>	<li>	<p>🎁 <strong>Caixa iluminada padrão Ferdie</strong></p>	</li></ul><p>&nbsp;</p><p>O <strong>Anel Letras</strong> celebra o poder da palavra, a arte do pensamento e a beleza das histórias que moldam o mundo.</p><p>No centro, brilha <strong>uma ametista natural</strong> de aproximadamente 4 mm (~0,25 ct), lapidada com exatidão. Sua tonalidade violeta remete à criatividade, ao conhecimento e à espiritualidade que movem a escrita e a interpretação.</p><p>Ao redor da ametista, <strong>um elo de zircônias brancas AAA</strong> em cravação delicada forma uma auréola de luz — como ideias que se entrelaçam, revelando sentido e harmonia.</p><p>Confeccionado em <strong>bronze banhado a ouro 18k</strong>, o aro exibe, em ambos os lados, <strong>o símbolo da flor de lis</strong> gravado com destaque em ródio branco contrastante — um emblema de refinamento, erudição e tradição.</p>",b72832_8ea9ec5bf83740499e16f7128fcf6ed0~mv2.png;b72832_3fe1afa4b6ef459ea48635b2c81e942b~mv2.png,Linha Bronze Dourado,,,900.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,09Brasil;10Brasil;11Brasil;12Brasil;13 Brasil;14 Brasil;15 Brasil;16 Brasil;17 Brasil;18 Brasil;19 Brasil;20 Brasil;21 Brasil;22 Brasil;23 Brasil;24 Brasil;25 Brasil,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_a663a34a-993b-91de-edca-cfc68dbafda9,Product,⚡ Anel Engenharia Elétrica – Linha Bronze Dourado – Safira Azul Natural,"<p>Cada joia da Linha Bronze Dourado é feita sob medida para sua história — com tempo, intenção e arte, resultando em uma obra selada e certificada.</p><p>Por isso, o prazo de produção contempla não apenas a confecção da joia, mas também a criação dos elementos que a acompanham:papéis exclusivos, personalizados, únicos como quem os recebe.</p><p><strong>A entrega inclui:</strong></p><ul>	<li>	<p>💌 <strong>Carta-poema personalizada</strong>, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista</p>	</li>	<li>	<p>📜 <strong>Certificado interno de autenticidade</strong>, com os detalhes técnicos da peça</p>	</li>	<li>	<p>📖 <strong>Manual de Uso Inteligente</strong>, com orientações para preservar a joia ao longo do tempo</p>	</li>	<li>	<p>🎁 <strong>Caixa iluminada padrão Ferdie</strong></p>	</li></ul><p>&nbsp;</p><p>O Anel Engenharia Elétrica homenageia a mente que entende o invisível, que traduz energia em linguagem, e que conecta o mundo com precisão e inovação.</p><p>No centro da joia pulsa uma safira azul natural de aproximadamente 4 mm (~0,25 ct), lapidada com exatidão.Mais do que uma pedra, ela simboliza o conhecimento profundo, o foco e o domínio sobre sistemas invisíveis — essência da Engenharia Elétrica.</p><p>Ao redor da safira, um elo de zircônias brancas AAA, com cravação delicada, forma uma auréola de luz — como circuitos interligados por intenção e raciocínio.</p><p>Confeccionado em bronze banhado a ouro 18k, o aro exibe em ambos os lados o símbolo da Engenharia Elétrica, gravado com destaque em ródio branco contrastante — uma insígnia de competência, identidade e técnica.</p>",b72832_d243558dc69a491cb737e1b394d5a06f~mv2.png;b72832_0d4f37e711ec40c7a50140a3389e2de5;b72832_3fe1afa4b6ef459ea48635b2c81e942b~mv2.png,Linha Bronze Dourado,,,900.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,09Brasil;10Brasil;11Brasil;12Brasil;13 Brasil;14 Brasil;15 Brasil;16 Brasil;17 Brasil;18 Brasil;19 Brasil;20 Brasil;21 Brasil;22 Brasil;23 Brasil;24 Brasil;25 Brasil,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_abfa0477-f49a-f0e9-58b8-5fcb8d381c0e,Product,🧱 Anel Engenharia Civil – Linha Bronze Rosé – Safira Azul Natural,"<p>Cada joia da Linha Bronze Rosé é feita sob medida para sua história — com tempo, intenção e arte, resultando em uma obra selada e certificada.</p><p>Por isso, o prazo de produção contempla não apenas a confecção da joia, mas também a criação dos elementos que a acompanham:papéis exclusivos, personalizados, únicos como quem os recebe.</p><p><strong>A entrega inclui:</strong></p><ul>	<li>	<p>💌 <strong>Carta-poema personalizada</strong>, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista</p>	</li>	<li>	<p>📜 <strong>Certificado interno de autenticidade</strong>, com os detalhes técnicos da peça</p>	</li>	<li>	<p>📖 <strong>Manual de Uso Inteligente</strong>, com orientações para preservar a joia ao longo do tempo</p>	</li>	<li>	<p>🎁 <strong>Caixa iluminada padrão Ferdie</strong></p>	</li></ul><p>&nbsp;</p><p>O Anel Engenharia Civil representa o intelecto aplicado à matéria, o raciocínio que constrói, projeta e transforma o mundo.É a joia de quem escolheu a Engenharia como linguagem de exatidão, estrutura e criação.</p><p>No centro desta joia vibra uma safira azul natural de aproximadamente 4 mm (~0,25 ct), lapidada com precisão.Muito além de sua beleza, essa gema milenar simboliza a sabedoria, o pensamento estratégico e a clareza — atributos essenciais ao engenheiro.</p><p>Ao redor da safira, um elo de zircônias brancas AAA, com cravação delicada, forma uma auréola de luz — como uma engrenagem de ideias que giram com exatidão e propósito.</p><p>Confeccionado em bronze com banho de ouro rosé 18k, o aro exibe em ambos os lados o símbolo da Engenharia Civil, representado pela deusa Minerva com engrenagem, gravado em ródio branco contrastante — um emblema de honra, técnica e visão.</p>",b72832_d3e8778d7b9140af9c4095514f85aa2f~mv2.png;b72832_6b4a939904b546b09d326967336dac91;b72832_3fe1afa4b6ef459ea48635b2c81e942b~mv2.png,Linha Bronze Dourado,,,1000.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,09Brasil;10Brasil;11Brasil;12Brasil;13 Brasil;14 Brasil;15 Brasil;16 Brasil;17 Brasil;18 Brasil;19 Brasil;20 Brasil;21 Brasil;22 Brasil;23 Brasil;24 Brasil;25 Brasil,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_440a4f44-d042-984e-beaf-5aaa0ed5a52b,Product,💜 Anel Letras e Pedagogia – Linha Bronze Dourado – Ametista Natural,"<p>Cada joia da Linha Bronze Dourado é feita sob medida para sua história — com tempo, intenção e arte, resultando em uma obra selada e certificada.</p><p>Por isso, o prazo de produção contempla não apenas a confecção da joia, mas também a criação dos elementos que a acompanham:papéis exclusivos, personalizados, únicos como quem os recebe.</p><p>A entrega inclui:</p><p><strong>A entrega inclui:</strong></p><ul>	<li>	<p>💌 <strong>Carta-poema personalizada</strong>, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista</p>	</li>	<li>	<p>📜 <strong>Certificado interno de autenticidade</strong>, com os detalhes técnicos da peça</p>	</li>	<li>	<p>📖 <strong>Manual de Uso Inteligente</strong>, com orientações para preservar a joia ao longo do tempo</p>	</li>	<li>	<p>🎁 <strong>Caixa iluminada padrão Ferdie</strong></p>	</li></ul><p><strong>Descrição da Joia</strong></p><p>O Anel Verbarium homenageia a vocação de quem ensina, escreve, traduz e transforma o mundo por meio das palavras — com sensibilidade, presença e clareza.</p><p>No centro desta joia pulsa uma ametista natural de aproximadamente 4 mm (~0,25 ct), lapidada com precisão.Mais do que uma gema, ela representa a inteligência emocional, o pensamento refinado e a sabedoria silenciosa — essência de quem se dedica ao conhecimento.</p><p>Ao redor da ametista, um elo de zircônias brancas AAA, com cravação delicada, forma uma auréola de luz — como uma constelação de ideias que florescem.</p><p>Confeccionado em bronze banhado a ouro 18k, o aro exibe em um lado o símbolo da Pedagogia, e do outro, o símbolo das Letras, ambos gravados com destaque em ródio branco contrastante — uma marca de identidade, escolha e legado.</p>",b72832_a0921d5952b24542afb7db8d63968bff~mv2.png;b72832_3fe1afa4b6ef459ea48635b2c81e942b~mv2.png,Linha Bronze Dourado,,,900.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,09Brasil;10Brasil;11Brasil;12Brasil;13 Brasil;14 Brasil;15 Brasil;16 Brasil;17 Brasil;18 Brasil;19 Brasil;20 Brasil;21 Brasil;22 Brasil;23 Brasil;24 Brasil;25 Brasil,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_016433ce-af8b-70e7-7676-c34710853383,Product,💚 Anel Veterinary – Linha Bronze Dourado – Esmeralda Verde Natural,"<p>Linha Bronze Dourado</p><p>Cada joia da Linha Bronze Dourado é feita sob medida para sua história — com tempo, intenção e arte, resultando em uma obra selada e certificada.</p><p>Por isso, o prazo de produção contempla não apenas a confecção da joia, mas também a criação dos elementos que a acompanham:papéis exclusivos, personalizados, únicos como quem os recebe.</p><p><strong>A entrega inclui:</strong></p><ul>	<li>	<p>💌 <strong>Carta-poema personalizada</strong>, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista</p>	</li>	<li>	<p>📜 <strong>Certificado interno de autenticidade</strong>, com os detalhes técnicos da peça</p>	</li>	<li>	<p>📖 <strong>Manual de Uso Inteligente</strong>, com orientações para preservar a joia ao longo do tempo</p>	</li>	<li>	<p>🎁 <strong>Caixa iluminada padrão Ferdie</strong></p>	</li></ul><p>&nbsp;</p><p>O Anel Veterinary celebra a vocação de quem escolheu proteger a vida animal com ciência, precisão e compaixão — unindo técnica e sensibilidade em cada gesto.</p><p>No centro desta joia pulsa uma esmeralda verde natural de aproximadamente 4 mm (~0,25 ct), lapidada com precisão.Não é apenas uma gema natural: é um símbolo da natureza viva, da cura e da conexão entre as espécies — essência da Medicina Veterinária.</p><p>Ao redor da esmeralda, um elo de zircônias brancas AAA, com cravação delicada, forma uma auréola de luz — como uma expressão da dedicação silenciosa que guia essa profissão.</p><p>Confeccionado em bronze banhado a ouro 18k, o aro exibe em ambos os lados o símbolo da Medicina Veterinária, destacado em ródio branco contrastante — uma insígnia de honra, identidade e missão.</p><p>Se desejar, posso transformar essa descrição em versão para catálogo, post, certificado ou adaptar para outras áreas da coleção Bronze Dourado. Deseja seguir com outro anel ou criar a versão visual?</p><p>Perguntar ao ChatGPT</p><p>Você disse:</p><p>o título como esse exemplo para ficar tudo certinho: 💙 Anel Psiquê - Linha Bronze Dourado- Safira Azul Natural</p><p>O ChatGPT disse:</p><p>Perfeito! Aqui está o título correspondente, seguindo exatamente o mesmo padrão do Anel Psiquê:</p><p>💚 Anel Veterinary – Linha Bronze Dourado – Esmeralda Verde Natural</p><p>E aqui está o bloco completo final, com título, estrutura e linguagem totalmente alinhados ao modelo do Psiquê:</p><p>💚 Anel Veterinary – Linha Bronze Dourado – Esmeralda Verde Natural</p><p>Cada joia da Linha Bronze Dourado é feita sob medida para sua história — com tempo, intenção e arte, resultando em uma obra selada e certificada.</p><p>Por isso, o prazo de produção contempla não apenas a confecção da joia, mas também a criação dos elementos que a acompanham:papéis exclusivos, personalizados, únicos como quem os recebe.</p><p>A entrega inclui:</p><p>💌 Carta-poema personalizada, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista📜 Certificado interno de autenticidade, com os detalhes técnicos da peça🎁 Caixa iluminada padrão Ferdie</p><p>O Anel Veterinary celebra a vocação de quem escolheu proteger a vida animal com ciência, precisão e compaixão — unindo técnica e sensibilidade em cada gesto.</p><p>No centro desta joia pulsa uma esmeralda verde natural de aproximadamente 4 mm (~0,25 ct), lapidada com precisão.Não é apenas uma gema natural: é um símbolo da natureza viva, da cura e da conexão entre as espécies — essência da Medicina Veterinária.</p><p>Ao redor da esmeralda, um halo de nove zircônias brancas AAA, com cravação delicada, forma uma auréola de luz — como uma expressão da dedicação silenciosa que guia essa profissão.</p><p>Confeccionado em bronze banhado a ouro 18k, o aro exibe em ambos os lados o símbolo da Medicina Veterinária, destacado em ródio branco contrastante — uma insígnia de honra, identidade e missão.</p><p>Se quiser, posso gerar agora o bloco visual com esse texto (imagem com tipografia aplicada) ou adaptar para PDF/certificado. Deseja?</p>",b72832_f138e4faac874c2a91838c9abc0e1453~mv2.png;b72832_3fe1afa4b6ef459ea48635b2c81e942b~mv2.png,Linha Bronze Dourado,,,900.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,09Brasil;10Brasil;11Brasil;12Brasil;13 Brasil;14 Brasil;15 Brasil;16 Brasil;17 Brasil;18 Brasil;19 Brasil;20 Brasil;21 Brasil;22 Brasil;23 Brasil;24 Brasil;25 Brasil,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_29019289-1561-0723-07a4-71b0799a9e44,Product,💙 Anel Psiquê - Linha Bronze Dourado- Safira Azul Natural,"<p>Linha Bronze Dourado</p><p>Cada joia da Linha Bronze Dourado é feita sob medida para sua história — com tempo, intenção e arte, resultando em uma obra selada e certificada.</p><p>Por isso, o prazo de produção contempla não apenas a confecção da joia, mas também a criação dos elementos que a acompanham:papéis exclusivos, personalizados, únicos como quem os recebe.</p><p><strong>A entrega inclui:</strong></p><ul>	<li>	<p>💌 <strong>Carta-poema personalizada</strong>, com o nome da formanda — seja ela a presenteada ou quem escolheu se homenagear com essa conquista</p>	</li>	<li>	<p>📜 <strong>Certificado interno de autenticidade</strong>, com os detalhes técnicos da peça</p>	</li>	<li>	<p>📖 <strong>Manual de Uso Inteligente</strong>, com orientações para preservar a joia ao longo do tempo</p>	</li>	<li>	<p>🎁 <strong>Caixa iluminada padrão Ferdie</strong></p>	</li></ul><p>&nbsp;</p><p>O Anel Psiquê celebra a vocação de quem escolheu compreender o invisível — e acolher o outro com sensibilidade e ciência.</p><p>No centro desta joia pulsa uma safira azul natural de aproximadamente 4 mm (~0,25 ct), lapidada com precisão.Não é apenas uma gema natural: é um símbolo milenar de sabedoria, verdade interior e profundidade emocional. Sua cor intensa ecoa os mistérios da mente humana — essência da Psicologia.</p><p>Ao redor da safira, um elo de zircônias brancas AAA com cravação delicada, forma uma auréola de luz, como uma flor de consciência em plena expansão.</p><p>Confeccionado em bronze banhado a ouro 18k, o aro exibe em ambos os lados o símbolo (Psi), ícone da Psicologia, destacado em ródio branco contrastante — refinado e presente como uma assinatura da profissão.</p>",b72832_a9260aa21f774a18aa63055eb61c3e7f~mv2.png;b72832_3fe1afa4b6ef459ea48635b2c81e942b~mv2.png;b72832_634ac9f9bda2441fb243c32545ff57af,Linha Bronze Dourado,,,900.0,,true,PERCENT,0.0,InStock,,,Tamanho,DROP_DOWN,09Brasil;10Brasil;11Brasil;12Brasil;13 Brasil;14 Brasil;15 Brasil;16 Brasil;17 Brasil;18 Brasil;19 Brasil;20 Brasil;21 Brasil;22 Brasil;23 Brasil;24 Brasil;25 Brasil,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_b8068cc9-ee98-2e27-b500-dfdc5baad8d1,Product,Brinco Gradus Circulum,"<p>Prata 925 com banho de ródio | Turmalinas Paraíba laboratoriais (~0,98 ct o par) + zircônias brancas de alta qualidade</p><p>Sutileza com propósito.</p><p>O Brinco Gradus Circulum apresenta turmalinas Paraíba laboratoriais em lapidação redonda (~0,49 ct cada), montadas em estruturas articuladas com base tipo huggie, cravejadas por zircônias brancas de alta qualidade.</p><p>Feito em prata 925 com banho de ródio branco, une praticidade e refinamento em um formato ideal para formaturas, eventos ou uso diário elegante.</p><p>Acompanha certificado Ferdie e carta-poema personalizada.</p>",b72832_fdcef28411714376a81fa0420fac1e13~mv2.png;b72832_5c55e7680c574574afa93f25afcb80f0~mv2.png,Gradus Ferdie,,,920.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>&nbsp;Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_ddbd19a7-a132-ef6f-c225-cd45482aec47,Product,Brinco Gradus Fiocchi,"<p>Prata 925 com banho de ródio | Turmalinas Paraíba laboratoriais (~1,56 ct o par) + zircônias brancas de alta qualidade</p><p>Delicadeza com estrutura.</p><p>O Brinco Gradus Fiocchi apresenta turmalinas Paraíba laboratoriais em lapidação oval (~0,78 ct cada), suspensas por um delicado laço cravejado de zircônias brancas de excelente qualidade.</p><p>Sua estrutura articulada em prata 925 com banho de ródio branco confere leveza e movimento, ideal para cerimônias, fotos e celebrações com toque clássico.</p><p>Acompanha certificado Ferdie e carta-poema personalizada.</p>",b72832_7a2b4591b9f146cda529f4ce4cbefcc6~mv2.png;b72832_5c55e7680c574574afa93f25afcb80f0~mv2.png,Gradus Ferdie,,,980.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>&nbsp;Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
product_598ca121-4345-d5ac-7714-237efcefde00,Product,Brinco Gradus Quadrum,"<p>Prata 925 com banho de ródio | Turmalinas Paraíba laboratoriais (~1,76 ct o par) + zircônias brancas de alta qualidade</p><p>Estrutura, equilíbrio e presença.</p><p>O Brinco Gradus Quadrum traz duas turmalinas Paraíba laboratoriais (~0,88 ct cada), lapidadas em forma cushion, emolduradas por zircônias brancas de excelente qualidade. Um design clássico de botão reinterpretado com sofisticação contemporânea.</p><p>Feito em prata 925 com banho de ródio branco, é ideal para formaturas, fotos e eventos onde o rosto precisa de um ponto de luz discreto, mas memorável.</p><p>Acompanha certificado Ferdie e carta-poema personalizada.</p>",b72832_742239f03c584710bfc3f64090764e0b~mv2.png;b72832_5c55e7680c574574afa93f25afcb80f0~mv2.png,Gradus Ferdie,,,980.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,✨ Confecção Sob Medida,"<p>&nbsp;Cada joia Ferdie é confeccionada individualmente para você — com atenção, precisão e alma.</p>

<p>Esse processo artesanal garante autenticidade, controle de qualidade e a beleza única que só uma peça feita com propósito pode carregar.</p>

<p>Acompanha<strong>&nbsp;certificado exclusivo</strong>&nbsp;e uma&nbsp;<strong>carta-poema</strong>&nbsp;única, criada especialmente para cada pedido.</p>
",,,,,,,,,,,,,,,,,Ferdie
